id,dataset,seed,subsample,repeat,AUROC,F1,Recall,Precision,runtime,lag,sum,lambda_a,lambda_w,w_thres,alpha
var,synth,x_cause_y,10,1,0.75,0.6666666666666666,1.0,0.5,0.0091104507446289,2.0,max,,,,
var,synth,x_cause_y,20,1,0.75,0.6666666666666666,1.0,0.5,0.0070488452911376,2.0,max,,,,
var,synth,x_cause_y,50,1,0.75,0.6666666666666666,1.0,0.5,0.0060746669769287,2.0,max,,,,
var,synth,x_cause_y,100,1,0.75,0.6666666666666666,1.0,0.5,0.0051679611206054,2.0,max,,,,
var,synth,indep,1,1,0.7,0.4,1.0,0.25,0.0429162979125976,3.0,max,,,,
var,synth,indep,2,1,0.7,0.4,1.0,0.25,0.0252704620361328,3.0,max,,,,
var,synth,indep,3,1,0.7,0.4,1.0,0.25,0.0179948806762695,3.0,max,,,,
var,synth,indep,4,1,0.7,0.4,1.0,0.25,0.0157070159912109,3.0,max,,,,
var,synth,indep,5,1,0.7,0.4,1.0,0.25,0.0125586986541748,3.0,max,,,,
var,synth,indep,6,1,0.7,0.4,1.0,0.25,0.0125107765197753,3.0,max,,,,
var,synth,indep,7,1,0.7,0.4,1.0,0.25,0.01064133644104,3.0,max,,,,
var,synth,indep,8,1,0.7,0.4,1.0,0.25,0.0098757743835449,3.0,max,,,,
var,synth,indep,9,1,0.7,0.4,1.0,0.25,0.0098404884338378,3.0,max,,,,
var,synth,indep,10,1,0.7,0.4,1.0,0.25,0.00887131690979,3.0,max,,,,
var,synth,indep,20,1,0.7,0.4,1.0,0.25,0.0068020820617675,3.0,max,,,,
var,synth,indep,50,1,0.7,0.4,1.0,0.25,0.0060341358184814,3.0,max,,,,
var,synth,indep,100,1,0.7,0.4,1.0,0.25,0.0052247047424316,3.0,max,,,,
var,synth,x_cause_y,1,1,0.75,0.6666666666666666,1.0,0.5,0.0436165332794189,3.0,max,,,,
var,synth,x_cause_y,2,1,0.75,0.6666666666666666,1.0,0.5,0.0246443748474121,3.0,max,,,,
var,synth,x_cause_y,3,1,0.75,0.6666666666666666,1.0,0.5,0.029996633529663,3.0,max,,,,
var,synth,x_cause_y,4,1,0.75,0.6666666666666666,1.0,0.5,0.0152699947357177,3.0,max,,,,
var,synth,x_cause_y,5,1,0.75,0.6666666666666666,1.0,0.5,0.0143189430236816,3.0,max,,,,
var,synth,x_cause_y,6,1,0.75,0.6666666666666666,1.0,0.5,0.0113556385040283,3.0,max,,,,
var,synth,x_cause_y,7,1,0.75,0.6666666666666666,1.0,0.5,0.0105652809143066,3.0,max,,,,
var,synth,x_cause_y,8,1,0.75,0.6666666666666666,1.0,0.5,0.0098028182983398,3.0,max,,,,
var,synth,x_cause_y,9,1,0.75,0.6666666666666666,1.0,0.5,0.0094392299652099,3.0,max,,,,
var,synth,x_cause_y,10,1,0.75,0.6666666666666666,1.0,0.5,0.0097887516021728,3.0,max,,,,
var,synth,x_cause_y,20,1,0.75,0.6666666666666666,1.0,0.5,0.0116946697235107,3.0,max,,,,
var,synth,x_cause_y,50,1,0.75,0.6666666666666666,1.0,0.5,0.0053763389587402,3.0,max,,,,
var,synth,x_cause_y,100,1,0.75,0.6666666666666666,1.0,0.5,0.0050346851348876,3.0,max,,,,
var,synth,indep,1,1,0.7,0.4,1.0,0.25,0.0441291332244873,4.0,max,,,,
var,synth,indep,2,1,0.7,0.4,1.0,0.25,0.0249164104461669,4.0,max,,,,
var,synth,indep,3,1,0.7,0.4,1.0,0.25,0.0191876888275146,4.0,max,,,,
var,synth,indep,4,1,0.7,0.4,1.0,0.25,0.0156645774841308,4.0,max,,,,
var,synth,indep,5,1,0.7,0.4,1.0,0.25,0.0140876770019531,4.0,max,,,,
var,synth,indep,6,1,0.7,0.4,1.0,0.25,0.012742280960083,4.0,max,,,,
var,synth,indep,7,1,0.7,0.4,1.0,0.25,0.011444091796875,4.0,max,,,,
var,synth,indep,8,1,0.7,0.4,1.0,0.25,0.0110621452331542,4.0,max,,,,
var,synth,indep,9,1,0.7,0.4,1.0,0.25,0.0098364353179931,4.0,max,,,,
var,synth,indep,10,1,0.7,0.4,1.0,0.25,0.0087816715240478,4.0,max,,,,
var,synth,indep,20,1,0.7,0.4,1.0,0.25,0.0072584152221679,4.0,max,,,,
var,synth,indep,50,1,0.7,0.4,1.0,0.25,0.0057849884033203,4.0,max,,,,
var,synth,indep,100,1,0.7,0.4,1.0,0.25,0.0053064823150634,4.0,max,,,,
var,synth,x_cause_y,1,1,0.75,0.6666666666666666,1.0,0.5,0.0450160503387451,4.0,max,,,,
var,synth,x_cause_y,2,1,0.75,0.6666666666666666,1.0,0.5,0.0253324508666992,4.0,max,,,,
var,synth,x_cause_y,3,1,0.75,0.6666666666666666,1.0,0.5,0.0186774730682373,4.0,max,,,,
var,synth,x_cause_y,4,1,0.75,0.6666666666666666,1.0,0.5,0.0178003311157226,4.0,max,,,,
var,synth,x_cause_y,5,1,0.75,0.6666666666666666,1.0,0.5,0.0131926536560058,4.0,max,,,,
var,synth,x_cause_y,6,1,0.75,0.6666666666666666,1.0,0.5,0.0120375156402587,4.0,max,,,,
var,synth,x_cause_y,7,1,0.75,0.6666666666666666,1.0,0.5,0.0110163688659667,4.0,max,,,,
var,synth,x_cause_y,8,1,0.75,0.6666666666666666,1.0,0.5,0.0104854106903076,4.0,max,,,,
var,synth,x_cause_y,9,1,0.75,0.6666666666666666,1.0,0.5,0.0094201564788818,4.0,max,,,,
var,synth,x_cause_y,10,1,0.75,0.6666666666666666,1.0,0.5,0.0090057849884033,4.0,max,,,,
var,synth,x_cause_y,20,1,0.75,0.6666666666666666,1.0,0.5,0.006932258605957,4.0,max,,,,
var,synth,x_cause_y,50,1,0.75,0.6666666666666666,1.0,0.5,0.0057120323181152,4.0,max,,,,
var,synth,x_cause_y,100,1,0.75,0.6666666666666666,1.0,0.5,0.0055959224700927,4.0,max,,,,
var,synth,indep,1,1,0.7,0.4,1.0,0.25,0.0486319065093994,5.0,max,,,,
var,synth,indep,2,1,0.7,0.4,1.0,0.25,0.0278656482696533,5.0,max,,,,
var,synth,indep,3,1,0.7,0.4,1.0,0.25,0.01914644241333,5.0,max,,,,
var,synth,indep,4,1,0.7,0.4,1.0,0.25,0.0157852172851562,5.0,max,,,,
var,synth,indep,5,1,0.7,0.4,1.0,0.25,0.0133454799652099,5.0,max,,,,
var,synth,indep,6,1,0.7,0.4,1.0,0.25,0.0120124816894531,5.0,max,,,,
var,synth,indep,7,1,0.7,0.4,1.0,0.25,0.0113441944122314,5.0,max,,,,
